voc_id,voc_text,order_amount,create_time
N000,已经是第二次了，商品页面写的是顺丰实际发的是其他快递，有点影响心情,329,2026-04-07
N001,第一次遇到这种情况，同城配送为什么也要两天，谢谢,188,2026-04-26
N002,已经是第二次了，包装箱里少了配件螺丝都没给齐，希望能尽快处理,259,2026-04-04
N003,已经是第二次了，客服回复太慢了，等了好久才回我一句，下次不敢买了,68,2026-04-21
N004,收到的电子产品没有中文说明书，下次不敢买了,459,2026-04-28
N005,说实话，申请的换货迟迟没人处理，催了两次了，麻烦核实一下,129,2026-04-17
N006,我想问下，收到的商品和图片颜色不太一样，有点失望，希望能尽快处理,329,2026-04-25
N007,第一次遇到这种情况，收到的包装破了，不过东西没坏,129,2026-04-21
N008,商品描述说是纯棉的结果不是的，已经申请售后了,599,2026-04-25
N009,真的无语，客服回复太慢了，等了好久才回我一句，麻烦核实一下,399,2026-04-21
N010,拆开发现是临期商品保质期只剩半个月，请给个说法,68,2026-04-15
N011,衣服质量还行，就是码数偏小，下次不敢买了,259,2026-04-08
N012,麻烦了，衣服质量还行，就是码数偏小,599,2026-04-10
N013,真的无语，客服一直让我等系统处理但等了三天没动静，谢谢,329,2026-04-12
N014,我想问下，包装箱里少了配件螺丝都没给齐,188,2026-04-28
N015,客观说，下单时备注了不要折叠结果还是压坏了，已经申请售后了,39,2026-04-24
N016,客观说，优惠券用不了，显示不符合条件，谢谢,39,2026-04-25
N017,已经是第二次了，客服态度还行，帮我解决了问题，希望能尽快处理,39,2026-04-12
N018,说实话，拆开发现是临期商品保质期只剩半个月,188,2026-04-08
N019,客观说，商品有色差客服说显示器问题不给退，麻烦核实一下,459,2026-04-10
N020,能不能改收货地址，已经下单了,329,2026-04-08
N021,我想问下，买之前咨询客服态度很好售后就变了，希望能尽快处理,399,2026-04-23
N022,说实话，申请的换货迟迟没人处理，催了两次了,99,2026-04-22
N023,说实话，商品描述说是纯棉的结果不是的,188,2026-04-05
N024,第一次遇到这种情况，商品描述说是纯棉的结果不是的，已经申请售后了,599,2026-04-26
N025,说实话，为什么我的退款还没到账，已经五天了，麻烦核实一下,39,2026-04-10
N026,真的无语，保价的商品坏了理赔流程特别麻烦，有点影响心情,329,2026-04-20
N027,真的无语，客服帮我查了物流，态度挺好的，麻烦核实一下,99,2026-04-07
N028,赠品没有一起发货，问客服也没给说法，已经申请售后了,188,2026-04-22
N029,真的无语，赠品没有一起发货，问客服也没给说法，麻烦核实一下,459,2026-04-06
N030,活动价下单后又涨回去了感觉被套路，已经申请售后了,459,2026-04-07
N031,客观说，为什么我的退款还没到账，已经五天了，希望能尽快处理,329,2026-04-20
N032,客观说，客服态度还行，帮我解决了问题，有点影响心情,39,2026-04-06
N033,麻烦了，买之前咨询客服态度很好售后就变了，谢谢,459,2026-04-19
N034,第一次遇到这种情况，能不能改收货地址，已经下单了,99,2026-04-20
N035,买的家电没有保修卡也没有发票，谢谢,39,2026-04-17
N036,客服回复太慢了，等了好久才回我一句，下次不敢买了,329,2026-04-27
N037,保价的商品坏了理赔流程特别麻烦,99,2026-04-05
N038,我想问下，客服回复太慢了，等了好久才回我一句，下次不敢买了,329,2026-04-30
N039,已经是第二次了，鞋子穿着不太舒服想换一双,259,2026-04-04
N040,真的无语，怎么退货啊，找不到退货入口,259,2026-04-24
N041,鞋子穿着不太舒服想换一双，已经申请售后了,259,2026-04-22
N042,说实话，商品页面写的是顺丰实际发的是其他快递，请给个说法,129,2026-04-16
N043,说实话，下单时备注了不要折叠结果还是压坏了，希望能尽快处理,129,2026-04-19
N044,已经是第二次了，活动价下单后又涨回去了感觉被套路，麻烦核实一下,68,2026-04-07
N045,客观说，买的东西物流好慢啊，等了快一周了还没收到，已经申请售后了,68,2026-04-08
N046,说实话，想取消订单结果显示已发货取消不了，麻烦核实一下,599,2026-04-23
N047,客服回复太慢了，等了好久才回我一句，有点影响心情,188,2026-04-16
N048,客观说，收到的包装破了，不过东西没坏，希望能尽快处理,99,2026-04-27
N049,说实话，发货速度挺快的，第二天就到了，请给个说法,399,2026-04-16
N050,已经是第二次了，活动价下单后又涨回去了感觉被套路，请给个说法,39,2026-04-22
N051,麻烦了，预售商品一拖再拖发货时间改了三次，谢谢,129,2026-04-08
N052,客观说，拆开发现是临期商品保质期只剩半个月，希望能尽快处理,459,2026-04-30
N053,买的食品快过期了，不敢吃,259,2026-04-29
N054,客观说，发货速度挺快的，第二天就到了，请给个说法,39,2026-04-03
N055,我想问下，活动价下单后又涨回去了感觉被套路，请给个说法,399,2026-04-04
N056,说实话，优惠券用不了，显示不符合条件,39,2026-04-08
N057,说实话，能不能改收货地址，已经下单了，下次不敢买了,329,2026-04-16
N058,麻烦了，尺码表完全不准，按推荐买大了一码，下次不敢买了,99,2026-04-22
N059,客服态度还行，帮我解决了问题，有点影响心情,39,2026-04-22
N060,我想问下，活动价下单后又涨回去了感觉被套路，希望能尽快处理,129,2026-04-28
N061,我想问下，这个商品降价了能不能退差价，下次不敢买了,99,2026-04-03
N062,已经是第二次了，买的家电没有保修卡也没有发票,188,2026-04-28
N063,真的无语，活动价下单后又涨回去了感觉被套路，有点影响心情,329,2026-04-03
N064,收到的商品和图片颜色不太一样，有点失望，已经申请售后了,599,2026-04-01
N065,已经是第二次了，收到的商品和图片颜色不太一样，有点失望，谢谢,68,2026-04-22
N066,第一次遇到这种情况，包装太简陋了盒子都扁了,599,2026-04-15
N067,下单时备注了不要折叠结果还是压坏了，谢谢,39,2026-04-02
N068,第一次遇到这种情况，商品有色差客服说显示器问题不给退，希望能尽快处理,68,2026-04-09
N069,第一次遇到这种情况，买之前咨询客服态度很好售后就变了，已经申请售后了,129,2026-04-25
N070,发票怎么申请电子发票，谢谢,99,2026-04-13
N071,客服帮我查了物流，态度挺好的,329,2026-04-23
N072,麻烦了，收到的颜色和图片差太多了，下次不敢买了,39,2026-04-22
N073,麻烦了，物流显示签收了我没收到货，快递员电话打不通，有点影响心情,39,2026-04-20
N074,第一次遇到这种情况，怎么退货啊，找不到退货入口，请给个说法,259,2026-04-08
N075,真的无语，保价的商品坏了理赔流程特别麻烦，希望能尽快处理,329,2026-04-13
N076,发货速度挺快的，第二天就到了，希望能尽快处理,39,2026-04-08
N077,第一次遇到这种情况，同城配送为什么也要两天，有点影响心情,599,2026-04-24
N078,客观说，物流信息三天没更新了不知道货到哪了，有点影响心情,39,2026-04-21
N079,买的东西物流好慢啊，等了快一周了还没收到，下次不敢买了,459,2026-04-26
N080,第一次遇到这种情况，买的东西物流好慢啊，等了快一周了还没收到，有点影响心情,259,2026-04-08
N081,说实话，收到的商品和图片颜色不太一样，有点失望，有点影响心情,259,2026-04-29
N082,我想问下，商品页面写的是顺丰实际发的是其他快递,129,2026-04-25
N083,我想问下，能不能改收货地址，已经下单了，麻烦核实一下,129,2026-04-05
N084,我想问下，尺码表完全不准，按推荐买大了一码，麻烦核实一下,599,2026-04-01
N085,真的无语，怎么退货啊，找不到退货入口,129,2026-04-10
N086,同城配送为什么也要两天，谢谢,188,2026-04-10
N087,已经是第二次了，衣服质量还行，就是码数偏小，麻烦核实一下,68,2026-04-13
N088,真的无语，赠品没有一起发货，问客服也没给说法，谢谢,68,2026-04-17
N089,活动价下单后又涨回去了感觉被套路，希望能尽快处理,188,2026-04-03
N090,收到的商品和图片颜色不太一样，有点失望,399,2026-04-12
N091,商品页面写的是顺丰实际发的是其他快递，希望能尽快处理,68,2026-04-10
N092,物流信息三天没更新了不知道货到哪了，谢谢,599,2026-04-03
N093,下单时备注了不要折叠结果还是压坏了，希望能尽快处理,459,2026-04-10
N094,我想问下，衣服质量还行，就是码数偏小,399,2026-04-07
N095,我想问下，收到的颜色和图片差太多了，已经申请售后了,129,2026-04-04
N096,客观说，买的家电没有保修卡也没有发票，谢谢,99,2026-04-10
N097,真的无语，拆开发现是临期商品保质期只剩半个月,39,2026-04-17
N098,已经是第二次了，保价的商品坏了理赔流程特别麻烦，麻烦核实一下,188,2026-04-07
N099,第一次遇到这种情况，为什么我的退款还没到账，已经五天了，已经申请售后了,99,2026-04-12
N100,尺码表完全不准，按推荐买大了一码,129,2026-04-09
N101,麻烦了，收到的颜色和图片差太多了，希望能尽快处理,39,2026-04-16
N102,客观说，能不能改收货地址，已经下单了，希望能尽快处理,459,2026-04-04
N103,真的无语，赠品没有一起发货，问客服也没给说法，希望能尽快处理,599,2026-04-07
N104,我想问下，发货速度挺快的，第二天就到了，有点影响心情,99,2026-04-15
N105,真的无语，收到的颜色和图片差太多了，有点影响心情,129,2026-04-12
N106,客观说，物流信息三天没更新了不知道货到哪了，麻烦核实一下,188,2026-04-21
N107,我想问下，商品有色差客服说显示器问题不给退，希望能尽快处理,329,2026-04-10
N108,鞋子穿着不太舒服想换一双，已经申请售后了,599,2026-04-29
N109,麻烦了，这个商品降价了能不能退差价，麻烦核实一下,399,2026-04-26
N110,收到的包装破了，不过东西没坏,188,2026-04-10
N111,麻烦了，买的家电没有保修卡也没有发票，希望能尽快处理,399,2026-04-29
N112,麻烦了，买的东西物流好慢啊，等了快一周了还没收到，请给个说法,39,2026-04-16
N113,真的无语，收到的颜色和图片差太多了，请给个说法,259,2026-04-07
N114,说实话，想取消订单结果显示已发货取消不了，下次不敢买了,329,2026-04-28
N115,说实话，买了三件只发了两件，少发了一件，麻烦核实一下,99,2026-04-27
N116,为什么我的退款还没到账，已经五天了，请给个说法,399,2026-04-13
N117,商品有色差客服说显示器问题不给退，希望能尽快处理,459,2026-04-29
N118,已经是第二次了，收到的颜色和图片差太多了,259,2026-04-28
N119,我想问下，物流显示签收了我没收到货，快递员电话打不通，下次不敢买了,188,2026-04-21
N120,真的无语，买的家电没有保修卡也没有发票，希望能尽快处理,99,2026-04-11
N121,客观说，买的食品快过期了，不敢吃,39,2026-04-20
N122,第一次遇到这种情况，收到的商品和图片颜色不太一样，有点失望，已经申请售后了,599,2026-04-21
N123,麻烦了，客服态度还行，帮我解决了问题，谢谢,188,2026-04-16
N124,真的无语，赠品没有一起发货，问客服也没给说法，谢谢,599,2026-04-08
N125,我想问下，赠品没有一起发货，问客服也没给说法，已经申请售后了,129,2026-04-28
N126,客观说，这个商品降价了能不能退差价,188,2026-04-27
N127,说实话，为什么我的退款还没到账，已经五天了，下次不敢买了,68,2026-04-20
N128,客观说，怎么退货啊，找不到退货入口,599,2026-04-19
N129,尺码表完全不准，按推荐买大了一码，有点影响心情,329,2026-04-24
N130,麻烦了，活动价下单后又涨回去了感觉被套路,68,2026-04-24
N131,我想问下，鞋子穿着不太舒服想换一双，已经申请售后了,259,2026-04-15
N132,申请的换货迟迟没人处理，催了两次了,68,2026-04-27
N133,拆开发现是临期商品保质期只剩半个月，有点影响心情,329,2026-04-09
N134,赠品没有一起发货，问客服也没给说法，有点影响心情,188,2026-04-06
N135,我想问下，收到的商品和图片颜色不太一样，有点失望，麻烦核实一下,188,2026-04-06
N136,说实话，买的家电没有保修卡也没有发票,188,2026-04-21
N137,收到的包装破了，不过东西没坏，希望能尽快处理,129,2026-04-14
N138,买的东西物流好慢啊，等了快一周了还没收到，谢谢,68,2026-04-30
N139,已经是第二次了，想取消订单结果显示已发货取消不了，麻烦核实一下,599,2026-04-28
N140,麻烦了，客服一直让我等系统处理但等了三天没动静，下次不敢买了,99,2026-04-26
N141,能不能改收货地址，已经下单了，下次不敢买了,188,2026-04-27
N142,客观说，尺码表完全不准，按推荐买大了一码,329,2026-04-30
N143,我想问下，买的家电没有保修卡也没有发票,99,2026-04-15
N144,退货退款审核太久钱一直压着，下次不敢买了,68,2026-04-07
N145,说实话，买的食品快过期了，不敢吃,129,2026-04-02
N146,退货退款审核太久钱一直压着，谢谢,329,2026-04-25
N147,我想问下，这个商品降价了能不能退差价，请给个说法,599,2026-04-10
N148,这个商品降价了能不能退差价，请给个说法,399,2026-04-24
N149,麻烦了，客服一直让我等系统处理但等了三天没动静，有点影响心情,68,2026-04-05
N150,说实话，鞋子穿着不太舒服想换一双，已经申请售后了,329,2026-04-13
N151,麻烦了，发货速度挺快的，第二天就到了，谢谢,129,2026-04-23
N152,已经是第二次了，衣服质量还行，就是码数偏小，已经申请售后了,99,2026-04-08
N153,申请的换货迟迟没人处理，催了两次了，希望能尽快处理,99,2026-04-03
N154,怎么退货啊，找不到退货入口，下次不敢买了,188,2026-04-21
N155,我想问下，买的东西物流好慢啊，等了快一周了还没收到，已经申请售后了,599,2026-04-06
N156,客服一直让我等系统处理但等了三天没动静，已经申请售后了,599,2026-04-14
N157,已经是第二次了，包装太简陋了盒子都扁了,599,2026-04-25
N158,已经是第二次了，买的东西物流好慢啊，等了快一周了还没收到,99,2026-04-04
N159,已经是第二次了，客服帮我查了物流，态度挺好的，下次不敢买了,599,2026-04-29
N160,已经是第二次了，物流信息三天没更新了不知道货到哪了,599,2026-04-28
N161,说实话，优惠券用不了，显示不符合条件，麻烦核实一下,68,2026-04-14
N162,说实话，退货退款审核太久钱一直压着，希望能尽快处理,459,2026-04-26
N163,第一次遇到这种情况，买的家电没有保修卡也没有发票，已经申请售后了,39,2026-04-23
B1-00,买的银手镯说是999纯银拿回来一测含银量只有60%，这是欺诈吧,199,2026-04-22
B1-01,银项链掉色太严重了戴了两天脖子都绿了，根本不是纯银,299,2026-04-23
B1-02,S925银戒指戴了一周就发黑，以前买的银饰戴一年都不会这样,399,2026-04-24
B1-03,银耳钉收到就有铜锈味，检测出来是铜镀银,499,2026-04-25
B1-04,银饰套盒里面好几件都有氧化斑点，商家还说是正常现象,599,2026-04-22
B1-05,银手镯材质不对，多个买家都有一样的问题,199,2026-04-23
B1-06,又是银饰又是材质不符，平台能不能管管这类商家,299,2026-04-24
B1-07,S925套链收到根本不是银的，戴了一次就过敏起疹子,399,2026-04-25
B1-08,银饰手镯纯银承诺完全是虚假宣传，材质检测不过关,499,2026-04-22
B1-09,这个银饰商家太黑了，银手镯完全不是纯银的,599,2026-04-23
B1-10,买的银戒指掉色露出红色底色，根本就是铜的假冒伪劣,199,2026-04-24
B1-11,银项链的材质和详情页完全不符，证书也是假的,299,2026-04-25
B2-00,台湾集运包裹已经等了一个月了还没到，物流显示一直在中转,299,2026-04-26
B2-01,集运包裹卡在中转站不动了客服也联系不上，我的货到底在哪,399,2026-04-27
B2-02,台湾流向的物流是不是出问题了，集运订单20多天没更新物流了,499,2026-04-28
B2-03,三个集运包裹全部积压，物流公司说是运力不够,599,2026-04-29
B2-04,集运台湾的订单物流超过30天，打了多次电话都说在处理,699,2026-04-26
B2-05,集运包裹显示异常，客服说在协调但等了一周没进展,799,2026-04-27
B2-06,台湾集运商到底什么时候能恢复，我的订单都等着用呢,299,2026-04-28
B2-07,物流积压这么严重平台应该主动通知消费者,399,2026-04-29
B2-08,我的集运包裹在中转站卡了两周了完全没有移动,499,2026-04-26
B2-09,台湾方向的物流为什么全部停掉了，四个包裹全部积压,599,2026-04-27
B2-10,集运台湾的包裹一直没有物流更新，要求退款,699,2026-04-28
B2-11,因为物流积压我的货全部滞留了，这损失谁来承担,799,2026-04-29
B3-00,买的婴幼儿米粉打开有股哈喇味，已经过期了吧不敢给孩子吃,88,2026-04-14
B3-01,儿童辅食罐头里面有异物，黑色的不知道是什么东西太恶心了,138,2026-04-15
B3-02,买的宝宝饼干包装破损而且受潮了，软的完全不脆,188,2026-04-16
B3-03,婴幼儿奶粉冲不开有结块，宝宝喝了拉肚子,238,2026-04-14
B3-04,儿童零食配料表写的和实物明显不符，添加剂比写的多,88,2026-04-15
B3-05,婴儿辅食泥有变质味道，而且瓶盖凸起说明已经坏了,138,2026-04-16
B3-06,买的幼儿奶片表面发霉了，生产日期还是上个月的,188,2026-04-14
B3-07,儿童营养面过期了还在卖，煮出来一股陈味,238,2026-04-15
